,,ViewMean,pop_unpop,cumulative_average
0.95,Scotty Kilmer,0.49639942857142855,1,0.49639942857142855
0.95,STAR GAMERS,0.5978559675652677,1,0.5471276980683482
0.95,DailyDrivenExotics,1.1002390729819742,1,0.7314981563728903
0.95,Hot Wheels,1.196514898897852,1,0.8477523420041306
0.95,MEDCARS,1.6988556182226955,1,1.0179729972478435
0.95,Doctor D.S.,2.025366566477686,1,1.1858719254528174
0.95,Need for Speed,2.5239858042933516,1,1.3770310510014652
0.95,Donut,3.119841104646923,1,1.5948823077071475
0.95,ChrisFix,6.310299176542792,1,2.1188175153555524
0.95,DIY Garage,25.6896138818041,1,4.475897152000407
0.95,DPCcars,0.14753135714285714,0,0.14753135714285714
0.95,Sonic Electronix,0.38781278070770686,0,0.267672068925282
0.95,DREAM MACHINES,0.38807607929291593,0,0.3078067390478267
0.95,Auto Plus,0.4070706878005766,0,0.33262272623601413
0.95,AirshowStuffVideos,0.44869824843371786,0,0.35583783067555486
0.95,DutchMotorsport,0.5168796361855478,0,0.382678131593887
0.95,Sergio Hernandez,0.603340672857455,0,0.4142013517743967
0.95,NoNonsenseKnowHow,1.5181749872103194,0,0.5521980562038871
0.95,Ford Argentina,1.5926732798414633,0,0.66780641438584
0.95,Mazda USA,7.075854315078499,0,1.3086112044551057
