,channelName,subscribers,views,totalVideos,playlistId,publishedAt
0,Ford Argentina,301000,129157860,337,UU-zptWmWiHbYuEHzD0mJ9yg,2012-06-04 19:18:22+00:00
1,Sonic Electronix,316000,130774097,1580,UUl76vrtVLcPPnOSIHVs8HMg,2008-12-15 21:21:45+00:00
2,AirshowStuffVideos,301000,125203201,2088,UUj_YRYIKoU74x60sSGPw4Ow,2010-03-16 21:23:43+00:00
3,Auto Plus,203000,146451942,7947,UUID-NICViVhXHTzTDTVXE0w,2008-01-07 16:30:24+00:00
4,DutchMotorsport,388000,206481017,886,UU18W5NUm52R5nqnbwWVe87Q,2016-04-20 21:48:02+00:00
5,DPCcars,316000,228210852,19250,UUGWNHkr2WZcRbxqoet-nyeg,2011-09-08 00:05:15+00:00
6,Mazda USA,409000,569727016,811,UU0Ihuy4gj2w-AYEQXRnUdUA,2006-09-18 22:39:45+00:00
7,Sergio Hernandez,397000,136006960,1149,UUCt5_TpQZ2rqPqQMjxZ2yHA,2014-12-22 01:10:11+00:00
8,DREAM MACHINES,209000,151843497,1892,UUigyW47RmuEEoITm9yXaPDA,2010-01-03 16:31:20+00:00
9,NoNonsenseKnowHow,504000,137432571,517,UUYAcr-u-BLGIrtUImT2_Elw,2009-02-10 01:09:30+00:00
