,channelName,subscribers,views,totalVideos,playlistId,publishedAt
0,Doctor D.S.,2220000,568464343,356,UUPJ61cXBMjpjyCcb5OhUzEg,2016-09-29 14:20:36+00:00
1,STAR GAMERS,4550000,660915190,2150,UUvh0vLzlZ8fFoedB6O3vluw,2020-05-26 03:14:19.645406+00:00
2,DailyDrivenExotics,3880000,1432713994,1874,UUj_ARBxhCoF5JxUItcEUs7Q,2013-01-24 04:14:25+00:00
3,MEDCARS,1320000,544091970,832,UUFfFgeKVVhjXtQSXRj3e-Iw,2015-03-11 19:15:48+00:00
4,Scotty Kilmer,6020000,2573884582,5609,UUuxpxCCevIlF-k-K5YU8XPA,2007-08-19 13:12:23+00:00
5,Need for Speed,1300000,148849558,65,UUXXBi6rvC-u8VDZRD23F7tw,2006-02-08 22:47:00+00:00
6,Hot Wheels,3760000,2834950075,2995,UUlbYzBq_iCnk4Vg4HF1MhfQ,2005-12-06 14:46:56+00:00
7,ChrisFix,9950000,1639839120,389,UUes1EvRjcKU4sY_UEavndBw,2008-07-30 14:59:12+00:00
8,DIY Garage,2100000,400824909,28,UUoV2Qw0sL-ApYQ62k-88K1w,2017-01-18 22:01:32+00:00
9,Donut,8380000,2538575661,1509,UUL6JmiMXKoXS6bpP1D3bk8g,2015-07-09 18:57:30+00:00
