,channelTitle,publishingYear,pop_unpop,num_videos,average_duration_mins
0,AirshowStuffVideos,2018,0,13,9.066666666666666
1,AirshowStuffVideos,2020,0,155,9.567311827956988
2,AirshowStuffVideos,2021,0,170,9.605686274509804
3,AirshowStuffVideos,2019,0,211,10.109478672985782
4,AirshowStuffVideos,2022,0,171,11.525828460038985
5,AirshowStuffVideos,2023,0,137,17.347323600973237
6,Auto Plus,2021,0,255,4.68562091503268
7,Auto Plus,2020,0,367,5.566394187102634
8,Auto Plus,2022,0,179,5.661359404096834
9,Auto Plus,2023,0,99,7.755892255892255
10,ChrisFix,2011,1,3,0.4888888888888889
11,ChrisFix,2013,1,42,7.952777777777778
12,ChrisFix,2014,1,83,8.295582329317268
13,ChrisFix,2012,1,24,8.447222222222221
14,ChrisFix,2010,1,2,8.758333333333333
15,ChrisFix,2015,1,61,9.56830601092896
16,ChrisFix,2016,1,34,12.049019607843139
17,ChrisFix,2017,1,21,13.955555555555556
18,ChrisFix,2022,1,19,15.141228070175439
19,ChrisFix,2023,1,8,16.452083333333334
20,ChrisFix,2018,1,13,17.521794871794874
21,ChrisFix,2021,1,17,18.069607843137256
22,ChrisFix,2019,1,17,20.083333333333332
23,ChrisFix,2020,1,15,25.953333333333333
24,DIY Garage,2019,1,6,7.808333333333334
25,DIY Garage,2020,1,8,8.69375
26,DIY Garage,2021,1,4,8.7
27,DIY Garage,2022,1,2,9.566666666666666
28,DIY Garage,2023,1,2,16.55
29,DIY Garage,2017,1,1,19.083333333333332
30,DPCcars,2023,0,871,3.6698430922311522
31,DREAM MACHINES,2023,0,280,5.461369047619048
32,DREAM MACHINES,2016,0,13,12.673076923076923
33,DREAM MACHINES,2019,0,77,14.391558441558441
34,DREAM MACHINES,2021,0,91,15.003296703296703
35,DREAM MACHINES,2017,0,150,16.076888888888888
36,DREAM MACHINES,2020,0,93,16.434587813620073
37,DREAM MACHINES,2018,0,111,16.782732732732732
38,DREAM MACHINES,2022,0,76,17.883991228070176
39,DailyDrivenExotics,2023,1,429,10.766122766122766
40,DailyDrivenExotics,2019,1,45,13.855555555555556
41,DailyDrivenExotics,2020,1,146,16.116552511415524
42,DailyDrivenExotics,2021,1,134,20.460696517412934
43,DailyDrivenExotics,2022,1,150,22.113222222222223
44,Doctor D.S.,2023,1,57,6.305555555555555
45,Doctor D.S.,2016,1,2,8.433333333333334
46,Doctor D.S.,2017,1,22,12.767424242424243
47,Doctor D.S.,2018,1,48,14.934722222222224
48,Doctor D.S.,2022,1,49,15.770068027210884
49,Doctor D.S.,2021,1,36,16.651851851851852
50,Doctor D.S.,2019,1,55,17.37969696969697
51,Doctor D.S.,2020,1,41,26.79959349593496
52,Donut,2023,1,140,11.971547619047618
53,Donut,2018,1,38,12.336842105263157
54,Donut,2019,1,170,12.85392156862745
55,Donut,2022,1,178,14.67565543071161
56,Donut,2020,1,224,15.924627976190475
57,Donut,2021,1,199,16.58140703517588
58,DutchMotorsport,2016,0,58,4.100862068965517
59,DutchMotorsport,2017,0,95,6.841754385964912
60,DutchMotorsport,2020,0,83,8.574899598393575
61,DutchMotorsport,2021,0,87,8.955747126436782
62,DutchMotorsport,2018,0,91,9.368681318681318
63,DutchMotorsport,2023,0,106,9.481132075471697
64,DutchMotorsport,2022,0,110,10.248939393939393
65,DutchMotorsport,2019,0,117,11.043162393162392
66,Ford Argentina,2023,0,162,2.339814814814815
67,Ford Argentina,2022,0,80,4.3152083333333335
68,Ford Argentina,2021,0,36,8.36064814814815
69,Ford Argentina,2020,0,6,21.15277777777778
70,Hot Wheels,2023,1,521,28.749904030710173
71,Hot Wheels,2022,1,266,41.63583959899749
72,Hot Wheels,2021,1,85,54.30803921568627
73,MEDCARS,2016,1,6,4.7
74,MEDCARS,2021,1,78,5.566880341880341
75,MEDCARS,2019,1,67,6.1778606965174125
76,MEDCARS,2020,1,53,6.620754716981133
77,MEDCARS,2015,1,4,6.75
78,MEDCARS,2018,1,93,7.055555555555555
79,MEDCARS,2017,1,72,7.680324074074075
80,MEDCARS,2022,1,135,8.569135802469136
81,MEDCARS,2023,1,241,11.658091286307053
82,Mazda USA,2009,0,18,0.961111111111111
83,Mazda USA,2013,0,242,1.568388429752066
84,Mazda USA,2017,0,29,1.6413793103448275
85,Mazda USA,2012,0,5,1.9033333333333333
86,Mazda USA,2011,0,3,2.1055555555555556
87,Mazda USA,2021,0,26,2.3506410256410257
88,Mazda USA,2023,0,13,2.353846153846154
89,Mazda USA,2015,0,62,3.3693548387096772
90,Mazda USA,2016,0,64,3.894270833333333
91,Mazda USA,2022,0,26,5.194871794871795
92,Mazda USA,2020,0,78,8.985683760683761
93,Mazda USA,2019,0,31,22.625806451612902
94,Mazda USA,2018,0,43,22.677906976744186
95,Mazda USA,2014,0,62,57.99623655913979
96,Need for Speed,2014,1,3,0.7666666666666667
97,Need for Speed,2020,1,2,0.8083333333333333
98,Need for Speed,2016,1,7,0.9761904761904762
99,Need for Speed,2017,1,12,1.1347222222222222
100,Need for Speed,2015,1,11,1.3378787878787877
101,Need for Speed,2023,1,3,1.3722222222222222
102,Need for Speed,2013,1,10,1.5799999999999998
103,Need for Speed,2018,1,2,1.6333333333333333
104,Need for Speed,2019,1,4,1.8625
105,Need for Speed,2022,1,4,2.0125
106,NoNonsenseKnowHow,2013,0,3,0.7611111111111111
107,NoNonsenseKnowHow,2011,0,10,1.255
108,NoNonsenseKnowHow,2012,0,2,1.2916666666666667
109,NoNonsenseKnowHow,2014,0,7,1.688095238095238
110,NoNonsenseKnowHow,2015,0,26,2.4564102564102566
111,NoNonsenseKnowHow,2018,0,106,4.1731132075471695
112,NoNonsenseKnowHow,2016,0,15,4.706666666666666
113,NoNonsenseKnowHow,2017,0,45,4.79925925925926
114,NoNonsenseKnowHow,2019,0,35,5.724285714285714
115,NoNonsenseKnowHow,2020,0,97,9.482302405498281
116,NoNonsenseKnowHow,2021,0,50,17.073666666666668
117,NoNonsenseKnowHow,2022,0,39,39.641452991452994
118,NoNonsenseKnowHow,2023,0,28,47.117261904761904
119,STAR GAMERS,2023,1,437,2.32162471395881
120,STAR GAMERS,2022,1,528,2.710069444444444
121,Scotty Kilmer,2023,1,909,8.211917858452512
122,Sergio Hernandez,2022,0,217,17.13425499231951
123,Sergio Hernandez,2020,0,316,17.545991561181435
124,Sergio Hernandez,2023,0,125,17.901999999999997
125,Sergio Hernandez,2021,0,248,24.17412634408602
126,Sonic Electronix,2018,0,34,1.0156862745098039
127,Sonic Electronix,2019,0,104,1.2416666666666667
128,Sonic Electronix,2020,0,3,1.5611111111111111
129,Sonic Electronix,2013,0,17,1.7127450980392156
130,Sonic Electronix,2017,0,34,1.7965686274509804
131,Sonic Electronix,2016,0,210,2.0124603174603175
132,Sonic Electronix,2014,0,205,2.1002439024390243
133,Sonic Electronix,2015,0,204,2.3860294117647056
134,Sonic Electronix,2021,0,26,3.7474358974358974
135,Sonic Electronix,2022,0,22,4.863636363636363
136,Sonic Electronix,2023,0,17,10.279411764705882
