;video_id;comments;;;;;
0;ldJ5KbNW0Mk;"['I like men #1', 'I like anime (1)', 'Bro likes turtles so much', 'Save the turtles', 'Halo', 'Day 1 of asking for a shout out', ""Thx again NTR really love your vids (sorry if I was a little late)\n\n\nBut....\n\nWho wouldn't love turtles"", ""Let's start the chant once again for the legend I LIKE TURTLES"", 'Kepp up the great work, very inspired on how you are able to release so many videos!', 'Lynalking gotta make it to 100 turtles 😂']";;;;;
1;5J8oeqyX87o;['Anime - Shangri-La Frontier \U0001fae1\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJuneQ5JM99YhMs65dkeBDD&si=tnKdPa8nh5ueMHp1', 'Yep', 'Part 14 🎉🎉🎉🎉🎉', 'Great video, another one for the books 🙏', '3hrs', 'Spider Lily ❤❤ every anime with it is amazing', 'Your amazing', '1 hour gang 👇', 'Amazing video bro', 'can u notice me pls'];;;;;
2;7LQW4Grbc5A;"['Wow nice story.. hope t will continue.', 'Can I get the top comment🙏🙏', 'the details are to good and the animation is sick dude', 'Anime name:The Melee Mage', 'Yo the animation and the details are sick, love the anime recap man keep it up😮❤', 'dayum numbers dont lie this man aint doin so well', ""Hey those buildings looks like mondstadt's! 🥴"", 'You already know what day it is I like turtles (pt.69) ( nice ) merry turtlemas y’all', 'Name of the anime?', 'ive watched all 10 english sub episodes on daily motion so far. this is a decent anime']";;;;;
3;YCuvJEnr4Kk;['anime - the seven deadly sins: four knights of the apocalypse\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJVHsciGpEaa_XoqUq0QUBn&si=Irb7xv3bpfwobDL4', 'ALL OF THAT JUST TO REMOVE POISON? BRUH', '44:57 they could do a better job for the dragon tbh', 'Another day another video from the G', '25:22 that Anit his father Melodies Anit that sorry💀', 'Third', '❤🎉🎉🎉', 'Nice', 'First ❤❤'];;;;;
4;hN2CbtozWmQ;"['anime name please', 'At 10:41 send that clip to will smith 🤣', 'Anime name?', 'Lol! Love the random jokes and commentary. Part 2!!!', '😛😛😛😛😛😛❤❤❤❤❤👍👍👍👍👍👍👍👍👍', 'Which flat chest girl from the vr mmo game anime there’s still multiple', 'Please part 2 please 🥺🥺🥺🥺🥺🤞🏽', 'Sauce for thumbnail?', ""Thanks for the video! I do something similar for my videos but I'm pretty new to this! Please let me know if you have any feedback for my videos so that I can produce more anime recap videos! (if you aren't too busy working on your stuff)🙏\n\nAlso, wishing you a year of growth in 2024"", 'These weapons are weird like a brush as a deadly weapon']";;;;;
5;X17qIJ1MqZk;"[""Anime - A Playthrough of a Certain Dude's VRMMO Life\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJNpnoYArlAYAWOIp1uBGnE&si=YXs77lP8CgH95JoH"", ""So what's the actual name if this anime?"", 'Don’t make a anima like this make a game like this please 😢', 'cant wait for next season', 'Why I This Not English Dubbed ????', 'The anime was good but the ending was complete rubbish.', 'Bro my cousin was hit with truck-kun 😂😂😂😂', 'Nice recaps you have been doing bro\nKeep up the good work', ""Thanks, I truly enjoyed the recap & hopefully there's another season & more recaps of this awesome series."", 'Bro kicked the door down with tyrannosaurus 8000s']";;;;;
6;WDfXFMyDN7Q;['Anime - Berserk of Gluttony \U0001fae1\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnULYKW3RuKB7Oj12HzVd2tD_&si=M_pi7vwd9mhndesx', 'is the series over? are they making more episodes?', 'Bro watch part 3 +4 alot of fights happen', 'Watching it here is more entertaining than any other channels😊', 'Love your videos so much i daily watch them ❤', 'Ok ok nice yes', 'Yo', 'Thank u for all your recap of this anime', 'Awesome series \nThanks for the explination', 'true hero and awesome ep'];;;;;
7;ZQlB2R-okOw;"['Anime - Shangri-La Frontier \U0001fae1\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJuneQ5JM99YhMs65dkeBDD&si=tnKdPa8nh5ueMHp1', ""That ain't falco."", 'Finally the next one', 'Bro which ai voice generator you are using', 'Ok ok', 'I loved this recap', 'Nice', 'Love this i hope theres a lot more of this anime cause this one is really good', 'This is my favorite new anime honestly, and these recaps are mad relaxin.', 'Bro really playing on hard mode, even moreso than he intended from the start']";;;;;
8;hYDd_vD1nzg;['W', 'w', 'Back to work you ni 24:51', 'Whats the name of the anime', 'W', 'wow', 'Nice as always', 'First 😭😭'];;;;;
9;Z4gU35sWgDM;['anime - the seven deadly sins: four knights of the apocalypse\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJVHsciGpEaa_XoqUq0QUBn&si=Irb7xv3bpfwobDL4', 'I love your videos', 'whats life without anime and why is anime so entetaining?', '3:01 i told u i wouldnt be surprised if meliodas was here', 'Is the new deadly sins bro', 'I like turtles (pt.67) Christmas= 69', 'skibidi rizzler skibidi rizzler green skibidi rizz', 'wow', 'Broo, sleeep 😂', 'Thank you daddy'];;;;;
