;channelName;subscribers;views;totalVideos;playlistId;publishedAt
0;Nine-Tales Recaps ;261000;25181099;234;UUVcuEpDq7EWJCcG64FdhQng;2022-02-13 07:43:30.186733+00:00
1;Zebra Nursery Rhymes - Kids Song and Cartoons;364000;334460833;756;UUH-Mkm4tUr2B8s8KowryDeg;2014-07-19 08:37:26+00:00
2;Sunrise;252000;193494955;3327;UUMRq9ADyETX-Touo4Srph5g;2007-04-15 12:59:26+00:00
3;Earth Touch;334000;130542293;1888;UUnavGPxEijftXneFxk28srA;2007-04-25 11:53:22+00:00
4;Peppers TV;439000;115364421;18851;UUGpAMVStIfaQ32K-vhwNIxw;2013-11-19 10:54:19+00:00
5;AnimationEpic;511000;258615437;321;UU1PcleKB2id1hsIIABvxUJg;2011-02-22 22:51:35+00:00
6;RealityGamingTV;257000;47763791;3372;UUqA6Ef7vsFcRDcJ63NJEzIg;2011-09-28 20:18:20+00:00
7;FUTURE INC.;406000;1665167;30;UU6AHeJa7s9-Brs6VyXy6Dwg;2009-10-24 14:33:31+00:00
8;My Damn Channel;229000;81582385;953;UU4W7m1U5PZGsbX_YVBLKUZQ;2007-06-12 23:17:37+00:00
9;Televisa Puebla;226000;92239340;26943;UU-HNztluSQSffhIWJTL-LUw;2013-07-31 23:48:47+00:00
