,channelName,subscribers,views,totalVideos,playlistId,publishedAt
0,KTV - Lajmet e mbrëmjes,16000,11348038,9507,UUXvgb41tiZQvEDA5dqMQ2RA,2020-06-24 10:44:25.730560+00:00
1,Doctissimo,1540000,317198545,3805,UUGexSARr1S9mRfn2G72xPLQ,2006-07-26 15:12:07+00:00
2,kipkay,2520000,717196918,447,UUzNAswnSN0rZy79clU-DRPg,2006-01-03 14:14:50+00:00
3,The Key of Awesome,5410000,3368263095,1096,UUEmCXnbNYz-MOtXi3lZ7W1Q,2007-06-11 02:07:54+00:00
4,A&E,10100000,6706435305,10240,UUNIFiHaLZkYASaWDdkC1njg,2006-09-20 09:31:22+00:00
5,DanceOn,1920000,685658609,2199,UUtnboZiB_Nqif-YNtp4aB7A,2006-05-06 20:36:45+00:00
6,MoosePlays,1090000,77961307,422,UUBgIBAReWVu0ymqfH5x4uFw,2017-06-26 04:28:02+00:00
7,Reckless Comedy,1080000,89317440,680,UUG8zuw2qAEl7LSuzlBQFajg,2008-05-30 20:20:47+00:00
8,KBS Drama,3970000,5530065870,136078,UUhpjIaEgwtDZtmWEkzFulSA,2011-12-28 02:44:19+00:00
9,MrCreepyPasta,1670000,343491660,2969,UUJMemx7yz_1QwXjHG_rXRhg,2011-01-04 08:19:55+00:00
