,channelTitle,publishingYear,pop_unpop,num_videos,average_duration_mins
0,A&E,2023,1,894,21.497520507084268
1,AnimationEpic,2023,0,89,1.658052434456929
2,AnimationEpic,2014,0,8,3.1770833333333335
3,AnimationEpic,2012,0,22,5.3136363636363635
4,AnimationEpic,2011,0,10,6.593333333333334
5,AnimationEpic,2013,0,13,7.328205128205128
6,AnimationEpic,2017,0,21,13.453968253968252
7,AnimationEpic,2021,0,25,19.43
8,AnimationEpic,2015,0,8,23.264583333333334
9,AnimationEpic,2019,0,7,34.15238095238096
10,AnimationEpic,2018,0,20,34.2025
11,AnimationEpic,2016,0,11,34.28939393939394
12,AnimationEpic,2020,0,31,36.02849462365591
13,AnimationEpic,2022,0,21,36.903174603174605
14,DanceOn,2023,1,77,0.6101731601731601
15,DanceOn,2022,1,12,1.7180555555555554
16,DanceOn,2016,1,115,2.475942028985507
17,DanceOn,2017,1,244,2.8398907103825137
18,DanceOn,2020,1,21,3.08015873015873
19,DanceOn,2018,1,107,3.9943925233644864
20,DanceOn,2019,1,85,4.12235294117647
21,DanceOn,2015,1,87,4.323754789272031
22,DanceOn,2021,1,16,4.830208333333333
23,DanceOn,2013,1,25,5.072
24,DanceOn,2014,1,73,27.036529680365295
25,Doctissimo,2023,1,271,2.316789667896679
26,Doctissimo,2022,1,60,2.4222222222222225
27,Doctissimo,2020,1,315,3.8502116402116404
28,Doctissimo,2021,1,215,4.057751937984496
29,Doctissimo,2019,1,1,4.1
30,Earth Touch,2020,0,11,1.7727272727272727
31,Earth Touch,2016,0,127,1.8448818897637795
32,Earth Touch,2019,0,4,2.1416666666666666
33,Earth Touch,2022,0,10,2.146666666666667
34,Earth Touch,2023,0,118,2.3540960451977404
35,Earth Touch,2017,0,85,2.3768627450980393
36,Earth Touch,2015,0,136,2.7835784313725487
37,Earth Touch,2013,0,73,3.149315068493151
38,Earth Touch,2014,0,131,3.433587786259542
39,Earth Touch,2012,0,91,3.926007326007326
40,Earth Touch,2021,0,6,4.236111111111111
41,Earth Touch,2011,0,50,4.379666666666666
42,Earth Touch,2018,0,9,6.157407407407407
43,FUTURE INC.,2023,0,16,3.1635416666666667
44,FUTURE INC.,2014,0,10,12.608333333333333
45,KBS Drama,2023,1,903,3.6332225913621263
46,MoosePlays,2021,1,40,0.3904166666666667
47,MoosePlays,2022,1,3,0.5
