;channelName;subscribers;views;totalVideos;playlistId;publishedAt
0;Joe Felix;298000;380556943;713;UUJGDOo-ieSN3UWSH9X3lSlg;2015-01-01 17:24:46+00:00
1;SBS Sports;326000;490341852;10647;UUqsKWTIu7IhBjLFZS2s1ULQ;2012-12-06 01:46:59+00:00
2;Ultimate MMA;426000;290344237;1514;UU52Lte_bBE2YS_E-8hsYL6g;2020-01-28 19:20:29.972291+00:00
3;GBB Cricket;467000;309863566;1620;UUYSTnniSPDm4uUkcEAmBQ7w;2019-02-26 07:58:23+00:00
4;Courtside Films;453000;424018635;6441;UUQPp7FYJUkw0Xk2Pr-6irOA;2012-10-01 19:27:24+00:00
5;March Madness;488000;308092495;8871;UUKjEtnnXEHsXE9IvCb92V7g;2015-01-26 16:16:45+00:00
6;Soccer90v;347000;336461568;62;UUj4OE3L5OVEphzpTRmGTtAQ;2018-02-25 15:07:08+00:00
7;DP World Tour;423000;415769142;3220;UUvZwbZt6YZQ4wj_7qyjPDZw;2010-08-04 17:17:10+00:00
8;Kirill Fire Freestyle Basketball;488000;313626620;325;UU60ycxhVzmnCvGeSa77dJUw;2009-03-04 13:45:49+00:00
9;Jsm44;296000;269876307;761;UUe36wRqBcPKGTi-YsqhadOg;2020-05-12 21:22:28.405788+00:00
