;channelName;subscribers;views;totalVideos;playlistId;publishedAt
0;MoosePlays;1090000;77962017;422;UUBgIBAReWVu0ymqfH5x4uFw;2017-06-26 04:28:02+00:00
1;Doctissimo;1540000;317356406;3807;UUGexSARr1S9mRfn2G72xPLQ;2006-07-26 15:12:07+00:00
2;A&E;10200000;6714853499;10264;UUNIFiHaLZkYASaWDdkC1njg;2006-09-20 09:31:22+00:00
3;The Key of Awesome;5410000;3368563657;1096;UUEmCXnbNYz-MOtXi3lZ7W1Q;2007-06-11 02:07:54+00:00
4;KBS Drama;3970000;5535229248;136182;UUhpjIaEgwtDZtmWEkzFulSA;2011-12-28 02:44:19+00:00
5;ScarySnowmanTV;2350000;635809694;398;UUsjIHm9OdgkdoPIMLA84jog;2006-03-29 04:33:13+00:00
6;MrCreepyPasta;1670000;343686897;2973;UUJMemx7yz_1QwXjHG_rXRhg;2011-01-04 08:19:55+00:00
7;DanceOn;1920000;685831142;2199;UUtnboZiB_Nqif-YNtp4aB7A;2006-05-06 20:36:45+00:00
8;Reckless Comedy;1080000;89768490;682;UUG8zuw2qAEl7LSuzlBQFajg;2008-05-30 20:20:47+00:00
9;kipkay;2520000;717211473;447;UUzNAswnSN0rZy79clU-DRPg;2006-01-03 14:14:50+00:00
