;channelName;subscribers;views;totalVideos;playlistId;publishedAt
0;Windies Cricket;3800000;1147204651;2475;UU2MHTOXktfTK26aDKyQs3cQ;2017-10-20 00:49:37+00:00
1;IMPACT Wrestling;4770000;2194523512;4020;UUOp8wkVqdrWbFYHjDv946QQ;2006-02-23 20:51:07+00:00
2;World Athletics;1490000;762646840;6855;UUQk7fWv15ChjMJLCRVmtApw;2010-03-05 14:12:33+00:00
3;AshStudio7;5970000;1610066452;313;UUlvgyQvIplPQU8N73vPlFUA;2013-09-17 05:29:46+00:00
4;Liverpool FC;9120000;2419071318;5772;UU9LQwHZoucFT94I2h6JOcjw;2005-10-23 01:19:05+00:00
5;ONE Championship;7830000;4916441955;10533;UUiormkBf3jm6mfb7k0yPbKA;2011-06-03 13:16:37+00:00
6;TNT Sports;5200000;3401887146;12892;UU4i_9WvfPRTuRWEaWyfKuFw;2013-01-02 14:09:35+00:00
7;ESPN Brasil;5740000;3515340950;30925;UUw5-xj3AKqEizC7MvHaIPqA;2012-01-04 20:13:45+00:00
8;PuraVidaVideos;1110000;545467026;36;UUPJHmq9Sgfy7R1RxOMM1HMA;2017-10-14 10:10:13+00:00
9;Vikram Singh Fitness;7240000;6670236840;9802;UUBIyn-ZVn6YhkVWF0L1lvcg;2018-08-29 13:12:23+00:00
