,channelTitle,publishingYear,pop_unpop,num_videos,average_duration_mins
0,AshStudio7,2015,1,2,7.1
1,AshStudio7,2020,1,48,7.589930555555555
2,AshStudio7,2021,1,80,7.711666666666667
3,AshStudio7,2022,1,30,8.323333333333332
4,AshStudio7,2023,1,35,8.384761904761906
5,AshStudio7,2019,1,39,8.644017094017094
6,AshStudio7,2018,1,26,9.13525641025641
7,AshStudio7,2016,1,2,10.733333333333333
8,AshStudio7,2017,1,9,11.912962962962963
9,Courtside Films,2021,0,311,5.393354769560558
10,Courtside Films,2022,0,247,5.590148448043185
11,Courtside Films,2020,0,136,7.401225490196079
12,Courtside Films,2023,0,168,9.79563492063492
13,Courtside Films,2024,0,10,17.563333333333333
14,DP World Tour,2022,0,328,26.646849593495933
15,DP World Tour,2024,0,39,40.552991452991456
16,DP World Tour,2023,0,518,56.609234234234236
17,ESPN Brasil,2023,1,846,10.613435776201733
18,GBB Cricket,2022,0,326,3.66579754601227
19,GBB Cricket,2024,0,31,4.15268817204301
20,GBB Cricket,2023,0,527,6.176913345983555
21,IMPACT Wrestling,2023,1,858,19.372319347319344
22,IMPACT Wrestling,2022,1,11,29.80757575757576
23,Joe Felix,2022,0,166,0.721285140562249
24,Joe Felix,2024,0,25,0.8260000000000001
25,Joe Felix,2023,0,463,0.8447444204463643
26,Jsm44,2023,0,439,3.7293470007593017
27,Jsm44,2024,0,26,5.637179487179487
28,Jsm44,2022,0,172,6.989631782945737
29,Jsm44,2020,0,18,8.932407407407407
30,Jsm44,2021,0,52,14.84775641025641
31,Kirill Fire Freestyle Basketball,2024,0,7,0.2142857142857143
32,Kirill Fire Freestyle Basketball,2023,0,146,0.6301369863013698
33,Kirill Fire Freestyle Basketball,2022,0,67,0.7206467661691541
34,Kirill Fire Freestyle Basketball,2018,0,4,1.8375
35,Kirill Fire Freestyle Basketball,2011,0,3,2.1
36,Kirill Fire Freestyle Basketball,2012,0,4,2.408333333333333
37,Kirill Fire Freestyle Basketball,2014,0,3,2.7722222222222226
38,Kirill Fire Freestyle Basketball,2009,0,2,3.9583333333333335
39,Kirill Fire Freestyle Basketball,2016,0,4,6.691666666666666
40,Kirill Fire Freestyle Basketball,2019,0,27,7.690740740740741
41,Kirill Fire Freestyle Basketball,2017,0,2,9.716666666666667
42,Kirill Fire Freestyle Basketball,2021,0,9,10.031481481481482
43,Kirill Fire Freestyle Basketball,2020,0,8,13.477083333333333
44,Liverpool FC,2023,1,893,7.4920492721164615
45,March Madness,2024,0,13,9.674358974358974
46,March Madness,2023,0,837,31.581023496614893
47,ONE Championship,2023,1,823,4.124908869987849
48,PuraVidaVideos,2023,1,3,0.5166666666666667
49,PuraVidaVideos,2018,1,3,7.305555555555555
50,PuraVidaVideos,2020,1,9,9.55
51,PuraVidaVideos,2019,1,16,9.790625
52,PuraVidaVideos,2021,1,3,10.016666666666667
53,SBS Sports,2023,0,738,31.05634598012647
54,SBS Sports,2024,0,184,38.56449275362319
55,Soccer90v,2021,0,15,6.815555555555556
56,Soccer90v,2024,0,1,7.75
57,Soccer90v,2022,0,30,7.823333333333333
58,Soccer90v,2023,0,7,8.17142857142857
59,TNT Sports,2023,1,858,6.268492618492618
60,Ultimate MMA,2023,0,564,1.5316193853427895
61,Ultimate MMA,2022,0,246,1.6633468834688345
62,Ultimate MMA,2024,0,36,2.598611111111111
63,Vikram Singh Fitness,2023,1,857,0.39329054842473743
64,Windies Cricket,2023,1,523,166.95640535372848
65,Windies Cricket,2022,1,332,219.37143574297187
66,World Athletics,2023,1,607,17.222048325096104
67,World Athletics,2022,1,271,36.60645756457564
