,channelName,subscribers,views,totalVideos,playlistId,publishedAt
0,SamsungChile,322000,828056077,2515,UUb95GzFiBNC8LgSh7Lituuw,2011-06-03 19:09:15+00:00
1,Tinker Man Mick,337000,222113634,374,UUOTGROdZj7JWQaIiolUhzlg,2019-06-03 13:47:36+00:00
2,New Scientist,279000,168931928,3379,UUt5OA3LingpZBeEyPYmputQ,2006-11-27 11:43:46+00:00
3,Tech & Design,390000,233914263,14067,UU07rNeWO01xLjyNMY5cLo2A,2008-11-20 14:29:07+00:00
4,Google Deutschland,466000,169371359,484,UUVhZG7p4mnW4TlNFPSd9EdQ,2007-05-30 17:56:02+00:00
5,ACCIONA,127000,344656075,2066,UUVLajedX43G0E1BRVx7Q7dQ,2008-07-23 13:58:57+00:00
6,Discovery Canada,353000,174842349,3850,UUCHPcAPFxs_g7UY5GFphJqg,2008-11-06 23:42:19+00:00
7,Uncle Jessy,471000,178823778,837,UU8i8e7likh-EYMq1bZ0ttHw,2013-11-22 19:15:46+00:00
8,MrEngineer,498000,158993878,338,UUs992d_KvWKf6Mw_2T3F-Jg,2016-11-25 14:51:12+00:00
9,Make it Extreme Shorts,407000,277046280,339,UULSowz-nL0OrJyYmR2crWPg,2021-04-22 00:51:26.165420+00:00
