,channelTitle,publishingYear,pop_unpop,num_videos,average_duration_mins
0,ACCIONA,2024,0,6,1.077777777777778
1,ACCIONA,2019,0,116,2.114080459770115
2,ACCIONA,2023,0,195,2.9196581196581195
3,ACCIONA,2022,0,172,4.122383720930233
4,ACCIONA,2021,0,193,5.206908462867012
5,ACCIONA,2020,0,149,5.383668903803132
6,AWE me,2013,1,38,4.1078947368421055
7,AWE me,2014,1,38,5.867543859649122
8,AWE me,2015,1,80,8.24625
9,AWE me,2016,1,118,9.053672316384182
10,AWE me,2020,1,15,10.547777777777778
11,AWE me,2017,1,67,10.926616915422887
12,AWE me,2022,1,9,15.637037037037036
13,AWE me,2023,1,4,15.854166666666666
14,AWE me,2018,1,18,16.543518518518518
15,AWE me,2021,1,9,18.937037037037037
16,AWE me,2019,1,9,32.65
17,Discovery Canada,2022,0,36,0.924074074074074
18,Discovery Canada,2023,0,6,1.3416666666666666
19,Discovery Canada,2019,0,265,1.611194968553459
20,Discovery Canada,2021,0,16,1.840625
21,Discovery Canada,2020,0,120,1.980138888888889
22,Discovery Canada,2018,0,418,2.063516746411483
23,Discovery Canada,2017,0,26,4.276282051282052
24,ElectroBOOM,2012,1,4,0.95
25,ElectroBOOM,2013,1,13,3.6884615384615387
26,ElectroBOOM,2015,1,11,4.133333333333334
27,ElectroBOOM,2014,1,10,5.346666666666667
28,ElectroBOOM,2016,1,13,5.516666666666667
29,ElectroBOOM,2023,1,36,7.374537037037038
30,ElectroBOOM,2017,1,26,8.444871794871794
31,ElectroBOOM,2018,1,26,11.65128205128205
32,ElectroBOOM,2019,1,21,12.005555555555556
33,ElectroBOOM,2022,1,21,12.803968253968254
34,ElectroBOOM,2020,1,23,12.951449275362318
35,ElectroBOOM,2021,1,23,16.74927536231884
36,Fireship,2023,1,95,4.097368421052631
37,Fireship,2022,1,94,4.649468085106383
38,Fireship,2021,1,114,5.515204678362574
39,Fireship,2020,1,62,6.57016129032258
40,Fireship,2017,1,61,6.671857923497268
41,Fireship,2019,1,70,9.563095238095238
42,Fireship,2018,1,59,9.770056497175142
43,Google Deutschland,2013,0,18,1.3574074074074074
44,Google Deutschland,2007,0,7,1.3857142857142857
45,Google Deutschland,2022,0,51,1.4513071895424836
46,Google Deutschland,2016,0,22,1.5606060606060608
47,Google Deutschland,2014,0,7,2.373809523809524
48,Google Deutschland,2009,0,57,2.6444444444444444
49,Google Deutschland,2012,0,18,3.2379629629629627
50,Google Deutschland,2018,0,17,3.7637254901960784
51,Google Deutschland,2019,0,10,4.0616666666666665
52,Google Deutschland,2017,0,20,4.425
53,Google Deutschland,2023,0,38,5.6267543859649125
54,Google Deutschland,2015,0,15,6.256666666666666
55,Google Deutschland,2011,0,33,7.204040404040404
56,Google Deutschland,2021,0,34,9.981862745098038
57,Google Deutschland,2010,0,27,13.61604938271605
58,Google Deutschland,2020,0,12,20.94722222222222
59,Google Deutschland,2008,0,43,21.342248062015507
60,MONEY TALKS WIRELESS,2022,1,364,1.88489010989011
61,MONEY TALKS WIRELESS,2023,1,501,2.233632734530938
62,Make it Extreme Shorts,2023,0,85,1.3915686274509804
63,Make it Extreme Shorts,2021,0,157,2.4100849256900214
64,Make it Extreme Shorts,2022,0,42,5.682539682539683
65,Make it Extreme Shorts,2024,0,6,6.458333333333333
66,MinuteEarth,2013,1,26,2.387179487179487
67,MinuteEarth,2017,1,34,2.7073529411764707
68,MinuteEarth,2016,1,30,2.8494444444444444
69,MinuteEarth,2015,1,22,2.9136363636363636
70,MinuteEarth,2014,1,20,2.9225
71,MinuteEarth,2018,1,21,3.115873015873016
72,MinuteEarth,2019,1,25,3.3973333333333335
73,MinuteEarth,2022,1,37,3.4630630630630628
74,MinuteEarth,2023,1,28,3.924404761904762
75,MinuteEarth,2021,1,40,5.068333333333333
76,MinuteEarth,2020,1,43,6.038759689922481
77,MrEngineer,2017,0,103,6.372653721682848
78,MrEngineer,2016,0,1,6.5
79,MrEngineer,2019,0,71,8.851408450704225
80,MrEngineer,2018,0,109,10.038226299694191
81,My Primary Solution,2019,1,248,4.651344086021505
82,My Primary Solution,2018,1,245,4.8821768707482995
83,My Primary Solution,2020,1,242,5.381198347107438
84,My Primary Solution,2022,1,26,5.433974358974359
85,My Primary Solution,2021,1,77,5.543506493506494
86,My Primary Solution,2023,1,13,5.838461538461539
87,Naked Science,2012,1,7,3.957142857142857
88,Naked Science,2018,1,12,4.622222222222222
89,Naked Science,2020,1,8,9.835416666666667
90,Naked Science,2017,1,23,10.83840579710145
91,Naked Science,2016,1,22,19.031818181818185
92,Naked Science,2015,1,39,20.376068376068375
93,Naked Science,2021,1,13,22.647435897435898
94,Naked Science,2019,1,10,27.08833333333333
95,Naked Science,2014,1,56,29.048214285714284
96,Naked Science,2013,1,18,34.25555555555556
97,Naked Science,2023,1,84,40.515079365079366
98,Naked Science,2022,1,52,41.83365384615385
99,New Scientist,2018,0,117,0.8847578347578348
100,New Scientist,2017,0,27,0.9895061728395063
101,New Scientist,2021,0,114,2.5141812865497077
102,New Scientist,2019,0,39,5.7132478632478625
103,New Scientist,2024,0,27,5.774074074074075
104,New Scientist,2023,0,289,8.10484429065744
105,New Scientist,2022,0,194,9.913573883161513
106,New Scientist,2020,0,66,14.67449494949495
107,Rare Earth,2013,1,16,2.238541666666667
108,Rare Earth,2015,1,7,3.033333333333333
109,Rare Earth,2012,1,7,3.2238095238095235
110,Rare Earth,2014,1,1,4.95
111,Rare Earth,2017,1,31,7.98763440860215
112,Rare Earth,2019,1,36,8.743518518518519
113,Rare Earth,2022,1,13,9.464102564102564
114,Rare Earth,2018,1,47,9.893262411347518
115,Rare Earth,2023,1,13,10.27179487179487
116,Rare Earth,2020,1,17,12.608823529411763
117,Rare Earth,2021,1,1,12.866666666666667
118,SamsungChile,2021,0,54,0.4901234567901235
119,SamsungChile,2024,0,21,1.2293650793650792
120,SamsungChile,2022,0,320,1.8049479166666667
121,SamsungChile,2023,0,429,2.065773115773116
122,Tech & Design,2023,0,670,27.424054726368162
123,Tech & Design,2024,0,233,30.440701001430615
124,Tech Boss,2022,1,311,3.1988745980707396
125,Tech Boss,2023,1,358,3.2322160148975794
126,Tech Boss,2021,1,216,6.936033950617284
127,Tech Boss,2020,1,15,10.095555555555556
128,TheBackyardScientist,2014,1,12,1.6638888888888888
129,TheBackyardScientist,2013,1,34,3.0191176470588235
130,TheBackyardScientist,2015,1,28,3.8773809523809524
131,TheBackyardScientist,2016,1,25,5.410666666666667
132,TheBackyardScientist,2017,1,16,7.403125
133,TheBackyardScientist,2023,1,5,7.913333333333333
134,TheBackyardScientist,2019,1,13,8.20897435897436
135,TheBackyardScientist,2018,1,9,9.137037037037036
136,TheBackyardScientist,2022,1,3,9.855555555555556
137,TheBackyardScientist,2020,1,10,9.958333333333334
138,TheBackyardScientist,2021,1,7,10.838095238095239
139,Tinker Man Mick,2022,0,98,0.5923469387755101
140,Tinker Man Mick,2021,0,145,0.7696551724137931
141,Tinker Man Mick,2023,0,44,1.9143939393939393
142,Tinker Man Mick,2020,0,18,4.075925925925926
143,Tinker Man Mick,2019,0,3,5.866666666666666
144,Uncle Jessy,2014,0,12,2.047222222222222
145,Uncle Jessy,2013,0,9,2.107407407407407
146,Uncle Jessy,2015,0,78,3.2724358974358974
147,Uncle Jessy,2016,0,114,6.646929824561403
148,Uncle Jessy,2019,0,58,7.486494252873563
149,Uncle Jessy,2018,0,46,7.7170289855072465
150,Uncle Jessy,2017,0,104,7.876442307692307
151,Uncle Jessy,2021,0,103,8.753236245954692
152,Uncle Jessy,2020,0,37,10.123423423423423
153,Uncle Jessy,2022,0,75,13.324666666666667
154,Uncle Jessy,2023,0,86,20.274031007751937
155,Uncle Jessy,2024,0,4,27.9125
