,,ViewMean,pop_unpop,cumulative_average
0.95,MoranDays,0.4611203811924474,1,0.4611203811924474
0.95,Happy Channel,0.4614338718672214,1,0.46127712652983444
0.95,Wolters World,0.5099339648217712,1,0.47749607262714666
0.95,Amazing Places on Our Planet,0.5586715037131198,1,0.49778993039863995
0.95,Mundo Sem Fim,1.4336095299200338,1,0.6849538503029187
0.95,Indian Desi Traveller,1.7440633571427722,1,0.8614721014428942
0.95,alanxelmundo,2.0704632175538396,1,1.0341851180301722
0.95,Kara and Nate,3.149125032522874,1,1.29855260734176
0.95,Peter Santenello,4.621285466080114,1,1.667745147201577
0.95,bald and bankrupt,4.87560370446049,1,1.9885310029274685
0.95,Jacek Zarzycki,0.39005701269624155,0,0.39005701269624155
0.95,wocomoTRAVEL,0.44659468651221473,0,0.41832584960422814
0.95,Theme Park Worldwide,0.4585256635711949,0,0.43172578759321706
0.95,Avi vlogz,0.4735668217264767,0,0.44218604612653195
0.95,Aika Agustin,0.5066192766171095,0,0.45507269222464747
0.95,Google Local Guides,0.6434639740860302,0,0.4864712392015446
0.95,Travel with AK,0.6702607879710658,0,0.5127268890257619
0.95,Gaston Marotta,0.810163817081206,0,0.5499065050326924
0.95,WanderDa,0.8597793074314957,0,0.5843368164103373
0.95,Sin Postal,1.043548552456657,0,0.6302579900149692
