,channelName,subscribers,views,totalVideos,playlistId,publishedAt
0,Amazing Places on Our Planet,1050000,258345911,421,UUYWJ32GJbOgtzU2uHh0OMCQ,2007-12-28 04:46:51+00:00
1,MoranDays,1150000,98745870,245,UUHqibHqO1A1F66jHPvNmw_A,2011-03-31 17:36:48+00:00
2,bald and bankrupt,3970000,620642634,258,UUxDZs_ltFFvn0FDHT6kmoXA,2018-06-12 11:56:25+00:00
3,Indian Desi Traveller,2040000,873696278,422,UUnGMrsmyA2qUoR1cuHykBeA,2019-12-06 16:25:26.358969+00:00
4,Mundo Sem Fim,1510000,329279304,753,UUOJNw9aHGRkYuIOqwU7yK-Q,2015-05-23 01:19:59+00:00
5,Kara and Nate,3700000,782822192,944,UU4ijq8Cg-8zQKx8OH12dUSw,2015-12-08 23:23:36+00:00
6,alanxelmundo,3620000,622355624,946,UUTJTpwrK4a-ajXs4-Wry09A,2010-06-29 20:31:17+00:00
7,Happy Channel,5260000,2767527842,3924,UUMoDrhE-gWX6v8bYRyLGYmA,2011-07-17 01:26:45+00:00
8,Peter Santenello,2670000,387396282,317,UU3Vuq4Q1bKFtAiKYlwRv3oA,2009-01-20 06:48:13+00:00
9,Wolters World,1010000,238920456,2418,UUFr3sz2t3bDp6Cux08B93KQ,2009-04-25 18:00:58+00:00
